n=28511807; trials_per_size=200; seed=SeedSequence([20260916,m,trial]); uniform_with_replacement
m	target	mean_relative_error	relative_RMSE	theory_relative_RMSE	median_absolute_relative_error	p95_absolute_relative_error	max_absolute_relative_error	fraction_within_1pct	fraction_within_5pct	mean_sample_and_query_seconds
100	K	0.009059635678819353	0.10363757731075016	0.09452870066886364	0.07571187353715869	0.1925612079154983	0.3181654995618597	0.07	0.34	7.140013971365989e-05
100	S	0.013259375372471597	0.1335926624688583	0.11642025372612187	0.0935151691105558	0.25436714023280554	0.422489518638381	0.07	0.255	7.140013971365989e-05
500	K	0.0014491095323809794	0.042071209135694274	0.04227452010406178	0.026290594210324203	0.0794392447639949	0.18412861773647804	0.18	0.785	9.171897079795599e-05
500	S	0.002888413070260877	0.05166832389791617	0.05206472025787634	0.03291206535791463	0.10469406351661076	0.2188689454018502	0.19	0.695	9.171897079795599e-05
1000	K	0.00023079012384446317	0.029402204592321308	0.02989259983698912	0.02015025487384453	0.052509607751034686	0.07359222250315567	0.265	0.93	0.00034133794018998743
1000	S	-0.0018365064499706945	0.03262407839508327	0.03681531675492497	0.02337878726156012	0.06364423174412227	0.09158778909044574	0.25	0.865	0.00034133794018998743
5340	K	6.946915811683052e-06	0.011990184721443626	0.012935793076269148	0.008883438362677909	0.022496571274425146	0.03567124910015651	0.555	1.0	0.0005422026652377098
5340	S	0.0006021971934905546	0.014815417747298065	0.015931545672709276	0.009663009133875133	0.028086947641296534	0.04858726138074165	0.515	1.0	0.0005422026652377098
10000	K	-0.00017309485746154984	0.009173849763155138	0.009452870066886363	0.006042383463483514	0.017884013772722866	0.03088255243668825	0.725	1.0	0.000503294060472399
10000	S	0.0002609428174972944	0.011210156639779614	0.011642025372612188	0.008009668105976142	0.020703200444214195	0.03692056905077479	0.605	1.0	0.000503294060472399
50000	K	0.00014914234404897475	0.004348722055203481	0.004227452010406178	0.0027489677832149284	0.008262454000621259	0.013406587654728686	0.98	1.0	0.002078939175698906
50000	S	0.00018215512301113845	0.005102067283535259	0.005206472025787634	0.0032102078871869555	0.010153282816055868	0.01557064824183585	0.945	1.0	0.002078939175698906
1660964	K	3.687836818169366e-05	0.0007130624134966191	0.0007334720660856565	0.00048513410064365825	0.0014084013977057265	0.002051277410178187	1.0	1.0	0.07282600098988042
1660964	S	3.5772039061200965e-05	0.0008837772149830707	0.0009033341559812796	0.000600308728898602	0.0016551711519532885	0.002256307245924294	1.0	1.0	0.07282600098988042
NOTE: timings assume resident edges and degree arrays, include sampling and both target estimates; empirical percentiles are not guarantees.
