query	/users/yp_wei/wcoj_by_sql/queries/1.sql
dataset	topcats
load_and_degree_seconds	4.968465
exact_profile_collection_seconds	0.011641
fixed_R1_R3_candidates	2112368511
fixed_R1_R2_candidates	2662974839
exact_split_candidates	779094625
exact_validation_seconds	1.129176
p	t=1/r	r	s	upper_bound
0.05	0.05	20	1.05263158	2632310972.82
0.05	0.1	10	1.11111111	2651938728.64
0.05	0.15	6.66666667	1.17647059	2725318128.59
0.05	0.2	5	1.25	2820922015.87
0.05	0.25	4	1.33333333	2935388628.31
0.05	0.3	3.33333333	1.42857143	3070278767.8
0.05	0.35	2.85714286	1.53846154	3229368947.52
0.05	0.4	2.5	1.66666667	3418442090.9
0.05	0.45	2.22222222	1.81818182	3645871392.55
0.05	0.5	2	2	3923922701.26
0.05	0.55	1.81818182	2.22222222	4271269365.92
0.05	0.6	1.66666667	2.5	4718066281.5
0.05	0.65	1.53846154	2.85714286	5317093864.42
0.05	0.7	1.42857143	3.33333333	6170489108.49
0.05	0.75	1.33333333	4	7496362526.48
0.05	0.8	1.25	5	9772362680.67
0.05	0.85	1.17647059	6.66666667	13902839091.1
0.05	0.9	1.11111111	10	21437866673.1
0.05	0.95	1.05263158	20	38945291044.3
0.1	0.05	20	1.05263158	2781770427.94
0.1	0.1	10	1.11111111	2602000197.72
0.1	0.15	6.66666667	1.17647059	2598784143.79
0.1	0.2	5	1.25	2649591390.57
0.1	0.25	4	1.33333333	2729088921.5
0.1	0.3	3.33333333	1.42857143	2831580169.61
0.1	0.35	2.85714286	1.53846154	2957355889.62
0.1	0.4	2.5	1.66666667	3109779394.28
0.1	0.45	2.22222222	1.81818182	3294877986.82
0.1	0.5	2	2	3522009673.28
0.1	0.55	1.81818182	2.22222222	3805607403.44
0.1	0.6	1.66666667	2.5	4168854524.97
0.1	0.65	1.53846154	2.85714286	4651770107.97
0.1	0.7	1.42857143	3.33333333	5330684107.51
0.1	0.75	1.33333333	4	6368461540.41
0.1	0.8	1.25	5	8134222091.01
0.1	0.85	1.17647059	6.66666667	11372656645.4
0.1	0.9	1.11111111	10	17333023099
0.1	0.95	1.05263158	20	30819169839.4
0.15	0.05	20	1.05263158	3110189411.51
0.15	0.1	10	1.11111111	2694995388.21
0.15	0.15	6.66666667	1.17647059	2572038447.91
0.15	0.2	5	1.25	2557712143.73
0.15	0.25	4	1.33333333	2592878383.69
0.15	0.3	3.33333333	1.42857143	2659089372.91
0.15	0.35	2.85714286	1.53846154	2750967916.86
0.15	0.4	2.5	1.66666667	2868609959.74
0.15	0.45	2.22222222	1.81818182	3015495099.32
0.15	0.5	2	2	3198318374.43
0.15	0.55	1.81818182	2.22222222	3428011400.02
0.15	0.6	1.66666667	2.5	3722324625.41
0.15	0.65	1.53846154	2.85714286	4111648631.23
0.15	0.7	1.42857143	3.33333333	4653081215.33
0.15	0.75	1.33333333	4	5467588114.87
0.15	0.8	1.25	5	6836638252.69
0.15	0.85	1.17647059	6.66666667	9369241143.14
0.15	0.9	1.11111111	10	14096392117.7
0.15	0.95	1.05263158	20	24515145509.6
0.2	0.05	20	1.05263158	3562351218.42
0.2	0.1	10	1.11111111	2914482363.23
0.2	0.15	6.66666667	1.17647059	2643304068.44
0.2	0.2	5	1.25	2542421704.4
0.2	0.25	4	1.33333333	2521764275.3
0.2	0.3	3.33333333	1.42857143	2546143795.79
0.2	0.35	2.85714286	1.53846154	2602163572.43
0.2	0.4	2.5	1.66666667	2685566610.15
0.2	0.45	2.22222222	1.81818182	2796889138.45
0.2	0.5	2	2	2940213181.98
0.2	0.55	1.81818182	2.22222222	3123444236.16
0.2	0.6	1.66666667	2.5	3359994480.18
0.2	0.65	1.53846154	2.85714286	3672911017.26
0.2	0.7	1.42857143	3.33333333	4104950937.29
0.2	0.75	1.33333333	4	4745606767.74
0.2	0.8	1.25	5	5806549416.45
0.2	0.85	1.17647059	6.66666667	7779549740.61
0.2	0.9	1.11111111	10	11533550415.6
0.2	0.95	1.05263158	20	19610941821.4
0.25	0.05	20	1.05263158	4133748308.26
0.25	0.1	10	1.11111111	3243292219.1
0.25	0.15	6.66666667	1.17647059	2808659156.43
0.25	0.2	5	1.25	2602368138.22
0.25	0.25	4	1.33333333	2513145994.47
0.25	0.3	3.33333333	1.42857143	2488568154.02
0.25	0.35	2.85714286	1.53846154	2505377740.62
0.25	0.4	2.5	1.66666667	2553802370.21
0.25	0.45	2.22222222	1.81818182	2630888257.76
0.25	0.5	2	2	2737989418.33
0.25	0.55	1.81818182	2.22222222	2880248664.13
0.25	0.6	1.66666667	2.5	3067495662.19
0.25	0.65	1.53846154	2.85714286	3317083332.59
0.25	0.7	1.42857143	3.33333333	3661031977.33
0.25	0.75	1.33333333	4	4165383013.35
0.25	0.8	1.25	5	4987196321.64
0.25	0.85	1.17647059	6.66666667	6516414343.97
0.25	0.9	1.11111111	10	9496150497.68
0.25	0.95	1.05263158	20	15785205148.9
0.3	0.05	20	1.05263158	4837694021.42
0.3	0.1	10	1.11111111	3677364219.09
0.3	0.15	6.66666667	1.17647059	3064594823.07
0.3	0.2	5	1.25	2737042884.48
0.3	0.25	4	1.33333333	2566190272.01
0.3	0.3	3.33333333	1.42857143	2484207391.17
0.3	0.35	2.85714286	1.53846154	2457102665.79
0.3	0.4	2.5	1.66666667	2468558381.31
0.3	0.45	2.22222222	1.81818182	2511502460.68
0.3	0.5	2	2	2584314607.93
0.3	0.55	1.81818182	2.22222222	2689467487.58
0.3	0.6	1.66666667	2.5	2833702498.36
0.3	0.65	1.53846154	2.85714286	3029850021.19
0.3	0.7	1.42857143	3.33333333	3301820729.82
0.3	0.75	1.33333333	4	3698276166.49
0.3	0.8	1.25	5	4334375762.76
0.3	0.85	1.17647059	6.66666667	5512340928.93
0.3	0.9	1.11111111	10	7870662141.97
0.3	0.95	1.05263158	20	12792222056.2
0.333333333	0.05	20	1.05263158	5391740664.58
0.333333333	0.1	10	1.11111111	4028952661.55
0.333333333	0.15	6.66666667	1.17647059	3285706927.86
0.333333333	0.2	5	1.25	2868698616.99
