query	/users/yp_wei/wcoj_by_sql/queries/1.sql
dataset	topcats
load_and_degree_seconds	5.059901
edge_aggregation_seconds	9.886973
edge_count	28511807
exact_sum_min	779094625
p	i	j	exact_sum_min_power	geometric_sum	additive_sum	geometric_over_exact	additive_over_exact	geometric_bound_on_S	additive_bound_on_S
0.2	0.1	0.3	51301048.5276	60984513.5188	121208403.689	1.18875764	2.36268862	8.43524728452e+38	2.61615612617e+40
0.2	0.2	0.2	51301048.5276	59469282.3085	121208403.689	1.15922158	2.36268862	7.43812524311e+38	2.61615612617e+40
0.2	0.3	0.1	51301048.5276	58517571.9457	121208403.689	1.1406701	2.36268862	6.86169624647e+38	2.61615612617e+40
0.25	0.125	0.375	59767515.516	74182991.1618	147881370.958	1.24119249	2.4742767	3.02842876653e+31	4.78248781809e+32
0.25	0.25	0.25	59767515.516	71780573.5307	147881370.958	1.20099644	2.4742767	2.65477485909e+31	4.78248781809e+32
0.25	0.375	0.125	59767515.516	70446494.1878	147881370.958	1.1786753	2.4742767	2.46284760863e+31	4.78248781809e+32
0.333333333	0.166666667	0.5	77498397.9086	103342729.016	207925440.653	1.33348213	2.68296437	1.10367137276e+24	8.98923826171e+24
0.333333333	0.333333333	0.333333333	77498397.9086	98596417.8064	207925440.653	1.27223814	2.68296437	9.58480781966e+23	8.98923826171e+24
0.333333333	0.5	0.166666667	77498397.9086	96481527.9563	207925440.653	1.24494868	2.68296437	8.98116174908e+23	8.98923826171e+24
0.5	0.25	0.75	132854177.497	204200737.914	425552428.263	1.53702911	3.20315429	4.16979413644e+16	1.810948692e+17
0.5	0.5	0.5	132854177.497	188683967.837	425552428.263	1.42023361	3.20315429	3.56016397188e+16	1.810948692e+17
0.5	0.75	0.25	132854177.497	184692999.196	425552428.263	1.39019339	3.20315429	3.4111503952e+16	1.810948692e+17
1	0.5	1.5	779094625	1794420171.28	4775343350	2.30321211	6.12934963	1794420171.28	4775343350
1	1	1	779094625	1476746353.66	4775343350	1.89546469	6.12934963	1476746353.66	4775343350
1	1.5	0.5	779094625	1539003343.44	4775343350	1.9753741	6.12934963	1539003343.44	4775343350
2	1	3	50143467265	220505086716	1.75041478305e+12	4.39748383	34.9081322	2507388776.19	7064523229.8
2	2	2	50143467265	144833114063	1.75041478305e+12	2.88837454	34.9081322	2032105753.98	7064523229.8
2	3	1	50143467265	239545256505	1.75041478305e+12	4.7771977	34.9081322	2613401637.95	7064523229.8
3	1.5	4.5	6.45856760139e+12	4.35942624797e+13	1.90239264684e+15	6.74983451	294.553338	3284679045.75	11564225398.6
3	3	3	6.45856760139e+12	2.54942908413e+13	1.90239264684e+15	3.94735991	294.553338	2746823833.74	11564225398.6
3	4.5	1.5	6.45856760139e+12	9.13638417172e+13	1.90239264684e+15	14.1461462	294.553338	4203469939.41	11564225398.6
4	2	6	1.68074991475e+15	1.36523726453e+16	3.83212855366e+18	8.12278646	2280.01115	4217650517.37	17263489077.1
4	4	4	1.68074991475e+15	7.78201585796e+15	3.83212855366e+18	4.63008553	2280.01115	3664726636.52	17263489077.1
4	6	2	1.68074991475e+15	5.97881044084e+16	3.83212855366e+18	35.5722787	2280.01115	6101298219.79	17263489077.1
5	2.5	7.5	1.30968313278e+18	7.46557956035e+18	1.0232169808e+22	5.7002945	7812.70641	5478132087.74	23228081535.6
5	5	5	1.30968313278e+18	4.3394606658e+18	1.0232169808e+22	3.31336684	7812.70641	4914812399.61	23228081535.6
5	7.5	2.5	1.30968313278e+18	5.35675554161e+19	1.0232169808e+22	40.901157	7812.70641	8124565785.74	23228081535.6
note	Rows compare bounds on sum(min^p); the last columns convert them to bounds on sum(min).
