j	A	B	C	product
0	19	2367.9301236513747	8244.8783844755726	370942621.95639402
1	2601	-7079.3279247653109	7851.1874517633341	-144566520612.1413
2	709	3373.9419965696661	-2019.5475195639037	-4831009858.9402514
3	1861	8306.2813021734546	-7487.4862282204949	-115741483522.27115
4	-10035	7745.0869352954824	-174.83096568396027	13588203118.026474
5	-3845	-3466.3785640889182	-2339.0087832615245	-31174836694.389217
6	10431	1607.470556785094	2878.9007156417219	48272040809.762039
7	2437	-4096.5235545216901	-5252.6577491238468	52438479402.649818
8	745	5822.3301441659487	-2929.929131051601	-12708965951.493803
9	12583	-21.204534161585816	-2071.5246570602226	552717276.33965802
10	-581	1122.0104608124118	-4450.7740464855187	2901406537.5829701
11	119	-1429.3380645453951	-2512.0192332986999	427272440.37385261
12	729	208.91089660323681	-115.13841579698507	-17535125.194988213
13	-8747	8295.6585827681174	2941.9276409444428	-213472523057.37741
14	-2869	-3739.5941238406149	-4855.566865260148	-52094869691.167427
15	1039	-1139.0911851644078	-9278.7489383357351	10981545428.887304
16	3707	-792.00440129558206	-734.49778331265156	2156456343.7041125
17	-6109	5223.170319673919	-5010.2100075857716	159867521884.28958
18	1625	5304.3467675846687	228.48583458756681	1969448159.4668486
19	-8901	-1448.1234488081675	-3001.4357652877861	-38687747104.573906
20	6907	-33.181227513432837	-5818.2652025633661	1333445952.0661747
21	6725	-6743.8492341905212	7309.421600327446	-331499710585.22772
22	915	5369.2113100926044	-1445.3616261029035	-7100813570.8916759
23	-1535	-4114.26782195744	-3343.8300958472437	-21117628287.946064
24	-7135	-1814.3607731577997	-3332.0661636010727	-43135142954.637871
25	-4823	7600.4457605875805	-407.25748641366482	14928817277.215252
26	4111	-8644.1238769385945	-2847.6454025989005	101193907828.19852
27	7629	4245.4746630005948	3415.4181480540901	110621043269.60437
28	1699	-7600.2325315619319	-6107.6787204846687	78867203677.881683
29	5125	4597.7572403406839	-1245.8031678267487	-29355490241.43832
30	-14459	7692.5118017311224	6597.378824080236	-733800242745.50525
31	921	5710.8122955761273	-3746.9796672234979	-19707832048.020256
32	-4287	-3420.4075593534926	-5496.7038108337538	-80599746669.783234
33	7009	10313.104011030127	5655.9436872531742	408837321709.94324
34	-4737	-6983.9317453252343	-3247.8373722266315	-107447829236.99138
35	-3431	-10291.583078288961	4485.8397070757046	158396891024.93286
36	-5913	-1168.01738532283	403.68974380031767	2788077886.6156712
37	-3257	5668.7759013742952	1729.0928354046957	-31924592217.464607
38	8113	-3191.5568761208187	-3566.5059291773659	92347898012.918594
39	6301	-1674.8325055016601	-3575.4924774442279	37732599804.746002
40	12707	-5233.9952321340124	3102.930130368034	-206370848202.04495
41	-2205	5289.2770490527591	688.1548489550139	-8025850835.542532
42	-6189	-8480.4541547797944	1580.2024626533296	82937764966.832672
43	1875	-145.21082841723364	-6544.620439753945	1781905791.9994321
44	-5851	2164.2130874637223	6033.4569405174416	-76400523555.375885
45	1101	-4752.6426346688195	-1350.0351710883035	7064274418.3707705
46	2161	4250.2601089174595	-6845.7702648808272	-62877113531.00602
47	827	-11185.498821694278	103.83679451937667	-960532665.45011377
48	1507	9682.2668453801434	-8099.1775962152487	-118176526863.02359
49	5431	-861.34631002546371	-3107.4556047561537	14536589719.093622
50	1535	-8127.1473679324081	-822.73430484797973	10263751313.13479
51	-2601	2665.4006560940488	-10806.539594393666	74918573842.733307
52	-629	-156.4114530243848	1157.5214829979684	113880209.13240872
53	6877	-2160.6742824261191	-9666.1878393316492	143629469847.56201
