k	trial	retained_edges	sampled_cost	estimate_S	relative_error
17915	0	2652	77561	775600475.37392461	-0.0044848847802991809
17915	1	2700	71777	717761185.65921247	-0.078723992404372667
17915	2	2595	74600	745990838.98988891	-0.042490071100299343
17915	3	2747	70776	707751308.58375835	-0.091572081396713023
17915	4	2888	81796	817949955.3085382	0.049872414802679677
17915	5	2512	70177	701761382.14200306	-0.099260398386135651
17915	6	2560	70285	702841368.8794148	-0.097874190982366494
17915	7	3366	88386	883849146.04504442	0.13445673694006599
17915	8	2950	77306	773050506.68836927	-0.0077578744836427349
17915	9	2533	70741	707401312.88181937	-0.092021315277564186
17915	10	2625	65732	657311927.99575567	-0.15631310125422093
17915	11	3260	100043	1000417714.5451133	0.28407728977094826
17915	12	2725	76759	767580573.86092329	-0.014778758278658044
17915	13	3118	75430	754290737.06444132	-0.031836810497259838
17915	14	3113	85443	854419507.45057738	0.096682585187360726
17915	15	2744	71126	711251265.60314798	-0.08707974258820228
17915	16	2831	78121	781200406.60494781	0.0027028573133176526
17915	17	2968	73294	732930999.3689667	-0.059252912482913533
17915	18	2735	75316	753150751.06384003	-0.033300029423460553
17915	19	2867	76809	768080567.72083616	-0.014136995591727763
17915	20	2826	78530	785290356.37903452	0.0079524760924059024
17915	21	2738	73574	735730964.98447835	-0.055659041436104895
17915	22	2422	72273	722721124.74954748	-0.072357706550025935
17915	23	2392	62151	621502367.74880135	-0.20227614489215429
17915	24	3266	88606	886049119.02866077	0.1372804927625586
17915	25	2415	64236	642352111.70716488	-0.17551464084716939
17915	26	2832	80097	800960163.94870138	0.028065318700795094
17915	27	2673	70354	703531360.40609443	-0.096988558474403019
17915	28	2889	83394	833929759.07135117	0.070383150276965623
17915	29	2611	75679	756780706.48680687	-0.028640832316348175
17915	30	2425	65574	655731947.3984313	-0.15834107134492004
17915	31	2596	70674	706731321.10953629	-0.0928812772780504
17915	32	3199	104476	1044747170.1649816	0.34097596959417031
17915	33	3512	100097	1000957707.9138192	0.28477039347283295
17915	34	2809	75251	752500759.04595351	-0.034134320916469507
17915	35	2892	82844	828429826.61231041	0.063323760720734645
17915	36	2729	74015	740140910.82890916	-0.049998694537381594
17915	37	2699	75119	751180775.25578368	-0.035828574409965008
17915	38	2644	73252	732511004.52663994	-0.059791993139934774
17915	39	2469	66740	667391804.21159756	-0.14337516548571039
17915	40	3117	79935	799340183.84258401	0.025986007595141691
17915	41	2714	69447	694461471.78727639	-0.10863013361531482
17915	42	2659	71614	716131205.67589676	-0.0808161387637647
17915	43	3009	85731	857299472.08367515	0.10037913826407818
17915	44	3008	80263	802620143.56361187	0.030195970821403018
17915	45	2800	81885	818839944.37918293	0.051014752385415196
17915	46	3139	86738	867369348.4223187	0.1133042387788501
17915	47	3087	81386	813850005.65725327	0.044609960769852908
17915	48	2707	72679	726781074.8920393	-0.067146593532153687
17915	49	2822	71702	717011194.86934328	-0.079686636434767699
17915	50	2628	64501	645002079.16470265	-0.17211329860643998
17915	51	2830	73923	739220922.12666965	-0.051179537881332893
17915	52	2473	59933	599322640.12306976	-0.23074473768437331
17915	53	2721	76944	769430551.14260066	-0.012404236337016594
17915	54	2640	77300	772990507.42517972	-0.0078348860060744041
17915	55	3305	92890	928888592.94598889	0.19226671977872889
17915	56	2863	84746	847449593.04339302	0.087736413331555241
17915	57	2858	72187	721861135.3104974	-0.073461538371545787
17915	58	3266	80178	801770154.00176013	0.029104974253621796
17915	59	2958	77428	774270491.70655656	-0.0061919735275332011
17915	60	3186	83588	835869735.24781275	0.072873189502254299
17915	61	3067	79116	791150284.41721237	0.015473934783226673
17915	62	3913	113388	1133866075.7558382	0.45536375091259051
17915	63	3356	83142	831409790.01739061	0.067148666334837737
17915	64	2770	78321	783200382.04459894	0.0052699080610381088
17915	65	2707	77809	778080444.91909194	-0.0013017418531260372
17915	66	2595	68552	685511581.69483721	-0.12011768571136372
17915	67	2855	80239	802380146.51085377	0.029887924731676563
17915	68	2651	75310	753090751.8006506	-0.033377040945892
17915	69	3217	84458	844569628.41029537	0.084039860254838006
17915	70	2859	78380	783790374.79929614	0.0060271880316156157
17915	71	2637	70766	707651309.8117758	-0.091700433934099101
17915	72	2831	79993	799920176.72008276	0.026730452311980457
17915	73	3470	93294	932928543.33408439	0.19745216228912432
17915	74	2892	83295	832939771.22872376	0.069112460156844024
17915	75	2759	75239	752380760.5195744	-0.034288343961332846
17915	76	2772	76643	766420588.10592568	-0.016267647712335687
17915	77	2660	76953	769520550.03738499	-0.012288719053369146
17915	78	2540	66586	665851823.12306619	-0.14535179456145497
17915	79	3286	87664	876629234.70790362	0.12518968374079553
17915	80	2450	65737	657361927.38174701	-0.15624892498552789
17915	81	2786	75839	758380686.83852792	-0.026587191718171699
17915	82	2444	64722	647212052.02551723	-0.16927670753020885
17915	83	2748	77355	773540500.67108381	-0.0071289470504513064
17915	84	2916	73568	735670965.7212888	-0.055736052958536564
17915	85	2808	82057	820559923.25728297	0.053222416028454678
17915	86	2539	72107	721061145.134637	-0.074488358670633859
17915	87	2906	81371	813700007.4992795	0.044417431963774012
17915	88	2540	71233	712321252.46336126	-0.085706370438172086
17915	89	2857	82498	824969869.10171378	0.0588827629271782
17915	90	2953	81686	816849968.81673014	0.048460536891433703
17915	91	2389	60041	600402626.8604815	-0.22935853028060427
17915	92	2990	81577	815759982.20212018	0.047061494233926027
17915	93	2636	71316	713151242.27081656	-0.084641044377868013
17915	94	2468	71315	713141242.39361835	-0.084653879631606532
17915	95	3224	89116	891149056.39977121	0.14382647216924549
17915	96	2444	62575	625742315.68086183	-0.19683399730698714
17915	97	2555	69057	690561519.67995656	-0.11363588257336965
17915	98	2748	74448	744470857.65575397	-0.044441029668566889
17915	99	2786	74988	749870791.34281218	-0.037509992649721879
17915	100	3599	97612	976108013.07615328	0.25287478793240714
17915	101	2672	75349	753480747.01138258	-0.032876466050086539
17915	102	2621	71335	713341239.93758345	-0.084397174556834598
17915	103	3435	101533	1015317531.5705146	0.30320181784146505
17915	104	2584	70693	706921318.77630317	-0.092637407457016985
17915	105	2655	68211	682101623.57023203	-0.1244945072362269
17915	106	2619	70910	709091292.12832463	-0.089852157395740484
17915	107	2817	81903	819019942.1687516	0.051245786952710093
17915	108	4006	100001	999997719.70278645	0.28353820911392691
17915	109	2755	67917	679161659.67394483	-0.12826807183537581
17915	110	2908	87301	872999279.2849369	0.12053048663368315
17915	111	2849	74334	743330871.6551528	-0.045904248594767605
17915	112	3200	86536	865349373.22827113	0.1107115175236526
17915	113	3157	76145	761440649.26119423	-0.022659604074159456
17915	114	2730	76167	761660646.55955577	-0.022377228491910373
17915	115	3248	89596	895948997.454934	0.14998739396377436
17915	116	2993	79295	792940262.43570018	0.017771445202436231
