k	trial	retained_edges	sampled_cost	estimate_S	relative_error
5340	0	216	5823	655379070.07236683	-0.15879400390887455
5340	1	230	7483	842212189.82509387	0.081013990855210771
5340	2	209	6462	727298566.16995275	-0.066482372189446526
5340	3	211	7098	798880412.05111802	0.025395871587636787
5340	4	237	6705	754648233.70002055	-0.031377948859523275
5340	5	219	6268	705463852.1747545	-0.094508125794405928
5340	6	206	5693	640747560.69414127	-0.17757414807714622
5340	7	197	4824	542941548.00431013	-0.30311218870967038
5340	8	243	6706	754760783.77216077	-0.031233486212075001
5340	9	240	6370	716943959.53305459	-0.079772935754685026
5340	10	207	6549	737090422.44614983	-0.053914121861449393
5340	11	293	8003	900738227.33799613	0.15613456752829746
5340	12	227	6073	683516588.10741615	-0.12267834204681338
5340	13	271	6953	782560651.59078944	0.004448787707641344
5340	14	319	8783	988527283.60734987	0.26881543253792817
5340	15	273	8174	919984289.67396986	0.18083768024194735
5340	16	293	8535	960614865.71658099	0.23298869597076344
5340	17	180	4688	527634738.19324332	-0.32275910876263159
5340	18	255	6621	745194027.64024401	-0.043512811245175809
5340	19	248	7137	803269864.86458564	0.031029914838118122
5340	20	257	7165	806421266.88451123	0.035074868966669115
5340	21	340	6188	696459846.4035387	-0.10606513759026548
5340	22	310	8305	934728349.12433565	0.19976228705766719
5340	23	229	5917	665958776.85354531	-0.14521451504873972
5340	24	225	5516	620826197.92532647	-0.20314403667548542
5340	25	936	23689	2666198658.9291258	2.4221756554014551
5340	26	196	5512	620375997.6367656	-0.20372188726527851
5340	27	178	4782	538214444.97442186	-0.30917961990249665
5340	28	281	8370	942044103.81344843	0.20915235914180319
5340	29	204	5212	586610975.99470651	-0.24706068149975169
5340	30	299	8469	953186560.95532799	0.22345416123917938
5340	31	242	6941	781210050.72510707	0.0027152359382625058
5340	32	209	5608	631180804.56222451	-0.18985347311024703
5340	33	230	5732	645137013.50760889	-0.17194010482666477
5340	34	243	7045	792915258.2276876	0.017739351272879844
5340	35	217	6540	736077471.79688811	-0.055214285688483411
5340	36	230	6826	768266792.4289844	-0.01389796851828573
5340	37	228	6804	765790690.84190011	-0.017076146762146971
5340	38	247	7243	815200172.5114466	0.04634295546763223
5340	39	263	7412	834221134.7031399	0.070757142886385571
5340	40	181	5087	572542216.97718191	-0.26511851243078222
5340	41	201	5245	590325128.37533307	-0.24229341413395955
5340	42	221	5814	654366119.42310512	-0.16009416773590868
5340	43	188	5316	598316183.49728703	-0.23203656616513424
5340	44	223	6626	745756778.00094497	-0.042790498007934552
5340	45	220	5203	585598025.3454448	-0.24836084532678582
5340	46	219	6142	691282543.08508968	-0.11271041937288462
5340	47	219	5737	645699763.86830986	-0.17121779158942363
5340	48	209	5747	646825264.5897119	-0.16977316511494112
5340	49	221	7561	850991095.45202923	0.092282077356173886
5340	50	173	5392	606869988.97994196	-0.22105740495906778
5340	51	248	7651	861120601.94464695	0.10528371562651584
5340	52	367	10735	1208225024.4250143	0.55080652035690059
5340	53	207	5254	591338079.02459478	-0.24099325030692542
5340	54	312	7774	874964260.817891	0.12305262126264949
5340	55	237	7147	804395365.58598769	0.032474541312600858
5340	56	280	8750	984813131.22672331	0.26404816517213603
5340	57	198	5739	645924864.01259041	-0.17092886629452697
5340	58	251	6864	772543695.17031193	-0.0084083879152523355
5340	59	221	6534	735402171.36404693	-0.056081061573172941
5340	60	291	9176	1032759461.9584472	0.3255892529850879
5340	61	209	5366	603943687.10429692	-0.22481343379272201
5340	62	340	9042	1017677752.2916609	0.30623125822702324
5340	63	233	4907	552283203.99194646	-0.29112178897146612
5340	64	202	5626	633206705.86074805	-0.18725314545617866
5340	65	328	7066	795278809.74263167	0.020773066869292922
5340	66	199	4397	494882667.20044601	-0.36479773917007063
5340	67	290	8910	1002821142.7691549	0.28716218876385513
5340	68	314	9393	1057182827.61287	0.35693764748135703
5340	69	284	8635	971869872.93060064	0.2474349607155879
5340	70	155	4747	534275192.44951499	-0.31423581256318511
5340	71	358	11512	1295676430.4779472	0.66305399742418603
5340	72	258	7292	820715126.04631627	0.053421625192596078
5340	73	230	5878	661569324.04007769	-0.15084855829922117
5340	74	216	6438	724597364.43858802	-0.069949475728204313
5340	75	327	8734	983012330.0724802	0.2617367628129641
5340	76	170	4158	467983199.9589389	-0.39932431191020101
5340	77	231	7011	789088555.77492082	0.012827621259639432
5340	78	230	6481	729437017.54061639	-0.063737581887929995
5340	79	369	8675	976371875.8162086	0.25321346661351773
5340	80	183	4428	498371719.43679214	-0.36031939709917504
5340	81	233	7241	814975072.36716616	0.046054030172735683
5340	82	255	6160	693308444.38361323	-0.11011009171881625
5340	83	191	6755	760275737.30703044	-0.024154816487111042
5340	84	224	5913	665508576.56498456	-0.1457923656385326
5340	85	223	6588	741479875.25961757	-0.048280078610967725
5340	86	173	3329	374679190.15471566	-0.51908384664479534
5340	87	238	6571	739566524.03323424	-0.05073594361758782
5340	88	207	4599	517617781.77276582	-0.33561628438552527
5340	89	226	7040	792352507.86698663	0.017017038035638699
5340	90	397	8240	927412594.43522286	0.19037221497353141
5340	91	251	8072	908504182.31566978	0.16610249020222634
5340	92	293	8526	959601915.06731915	0.2316885321437292
5340	93	212	5617	632193755.21148622	-0.1885533092832129
5340	94	403	11552	1300178433.3635552	0.66883250332211586
5340	95	198	5625	633094155.78860795	-0.18739760810362671
5340	96	258	6244	702762650.44338977	-0.097975229333163716
5340	97	311	7883	887232218.68117249	0.13879904983450819
5340	98	281	7883	887232218.68117249	0.13879904983450819
5340	99	228	7040	792352507.86698663	0.017017038035638699
5340	100	190	6713	755548634.27714217	-0.030222247679937198
5340	101	195	6067	682841287.67457497	-0.12354511793150291
5340	102	203	5379	605406838.04211938	-0.22293541937589501
5340	103	270	8603	968268270.62211442	0.24281215599724404
5340	104	183	4688	527634738.19324332	-0.32275910876263159
5340	105	418	11739	1321225296.8537719	0.69584701839493746
5340	106	197	5632	633882006.29358923	-0.18638636957148913
5340	107	297	9533	1072939837.7124976	0.37716241812411111
5340	108	248	6471	728311516.81921446	-0.065182208362412397
5340	109	273	8206	923585891.98245621	0.18546048496029122
5340	110	176	5124	576706569.64636922	-0.25977339447519709
5340	111	205	5145	579070121.1613133	-0.25673967887878413
5340	112	224	6328	712216856.50316632	-0.085840366947511293
5340	113	213	6190	696684946.54781914	-0.10577621229536893
5340	114	336	9579	1078117141.0309465	0.38380769990673014
5340	115	229	6743	758925136.44134808	-0.02588836825648988
5340	116	315	9098	1023980556.3315119	0.314321166484125
5340	117	215	5907	664833276.13214338	-0.14665914152322201
5340	118	332	6180	695559445.82641721	-0.10722083876985133
5340	119	205	5846	657967721.73159134	-0.15547136301756503
5340	120	206	6001	675412982.91332197	-0.13307965266308697
5340	121	249	6954	782673201.66292965	0.0045932503550896175
5340	122	249	5897	663707775.41074145	-0.14810376799770442
5340	123	290	8010	901526077.84297752	0.15714580606043516
5340	124	211	5229	588524327.22108984	-0.24460481649313159
5340	125	343	9357	1053131025.0158229	0.35173699217322008
5340	126	218	6575	740016724.32179499	-0.050158093027794948
5340	127	269	8930	1005072144.2119588	0.29005144171281994
5340	128	234	6494	730900168.47843897	-0.061859567471102772
5340	129	209	5273	593476530.39525855	-0.23824846000540878
5340	130	238	6629	746094428.21736562	-0.042357110065589731
5340	131	198	6065	682616187.53029454	-0.12383404322639946
5340	132	263	6740	758587486.22492743	-0.0263217561988347
5340	133	225	6754	760163187.23489022	-0.024299279134559315
5340	134	243	6150	692182943.6622113	-0.11155471819329865
5340	135	295	6152	692408043.80649161	-0.11126579289840233
5340	136	234	6364	716268659.10021341	-0.080639711639374445
5340	137	333	10311	1160503793.8375709	0.48955435783884527
5340	138	216	4776	537539144.54158068	-0.31004639578718607
5340	139	567	13857	1559606349.6467092	1.0018189056903188
5340	140	223	6537	735739821.58046746	-0.055647673630828232
5340	141	488	11642	1310307939.8561728	0.68183414159245781
5340	142	273	8747	984475481.01030278	0.26361477722979121
5340	143	219	6175	694996695.46571624	-0.10794315200709259
5340	144	181	4885	549807102.40486217	-0.29429996721532747
5340	145	204	6232	701412049.57770741	-0.099708781102542665
5340	146	201	4860	546993350.60135722	-0.29791153340153353
5340	147	280	7280	819364525.1806339	0.05168807342321724
5340	148	193	4496	506025124.34232551	-0.35049593707269444
5340	149	249	7261	817226073.80997014	0.048943283121700487
5340	150	236	6868	772993895.45887268	-0.0078305373254594635
5340	151	166	4548	511877728.09361577	-0.34298387940538577
5340	152	421	12380	1393369893.0956383	0.78844757540926214
5340	153	313	8520	958926614.63447797	0.23082175625903978
5340	154	297	7883	887232218.68117249	0.13879904983450819
5340	155	286	7984	898599775.9673326	0.15338977722678115
5340	156	324	8605	968493370.76639473	0.24310108129214059
5340	157	328	10053	1131465875.2254	0.45228299479719802
5340	158	225	5955	670235679.59487283	-0.13972493444570633
5340	159	289	7401	832983083.90959775	0.069168053764454784
5340	160	278	7468	840523938.74299085	0.078847051143487112
5340	161	241	6754	760163187.23489022	-0.024299279134559315
5340	162	233	6466	727748766.4585135	-0.065904521599653543
5340	163	307	8733	982899780.00033998	0.26159230016551582
5340	164	224	6636	746882278.72234702	-0.041345871533452039
5340	165	211	7000	787850504.98137867	0.011238532137708868
5340	166	190	4649	523245285.37977564	-0.32839315201311314
5340	167	285	7835	881829815.21844304	0.1318648427569924
5340	168	201	5922	666521527.21424639	-0.14449220181149836
5340	169	197	5802	653015518.55742276	-0.16182771950528763
5340	170	211	6423	722909113.35648501	-0.072116415439928083
5340	171	247	7843	882730215.79556477	0.13302054393657858
5340	172	1081	27057	3045267301.8973093	2.9087258520071413
5340	173	197	5550	624652900.37809312	-0.19823230666224512
5340	174	242	6509	732588419.56054199	-0.059692627759379002
5340	175	246	7297	821277876.40701723	0.054143938429837446
5340	176	311	7979	898037025.6066314	0.15266746398953956
5340	177	268	7278	819139425.03635347	0.051399148128320693
5340	178	335	7406	833545834.27029872	0.06989036700169593
5340	179	254	7730	870012057.64372253	0.11669626477492701
5340	180	282	7704	867085755.76807737	0.11294023594127278
5340	181	234	7349	827130480.15830743	0.061655996097146115
5340	182	283	7899	889033019.83541584	0.14111045219368035
5340	183	195	5019	564888812.07164848	-0.27494197245726282
5340	184	207	6749	759600436.87418926	-0.025021592371800461
5340	185	283	8827	993479486.78151846	0.27517178902565065
5340	186	327	8234	926737294.00238168	0.18950543908884199
5340	187	245	7806	878565863.12637734	0.12767542598099335
5340	188	210	5845	657855171.65945113	-0.1556158256650132
5340	189	200	5857	659205772.52513349	-0.15388227389563436
5340	190	260	7538	848402443.79280472	0.088959436464864261
5340	191	242	7633	859094700.64612341	0.10268338797244736
5340	192	250	7428	836021935.85738301	0.073068545245557281
5340	193	274	8106	912330884.76843643	0.17101422021546675
5340	194	232	6315	710753705.56534374	-0.087718381364338516
5340	195	317	9116	1026006457.6300354	0.31692149413819326
5340	196	302	7523	846714192.7107017	0.08679249675314038
5340	197	237	5724	644236612.93048739	-0.17309580600625063
5340	198	220	6009	676313383.49044347	-0.13192395148350111
5340	199	391	8564	963878817.80864668	0.23717811274676248
24518	0	5333	135342	722588092.00489843	-0.07252845955021392
24518	1	4865	139411	744312397.44125903	-0.044644419872285734
24518	2	5718	155121	828187757.08864832	0.063013054529349688
24518	3	5112	130421	696314976.48454177	-0.10625108409066253
24518	4	4370	111728	596513442.56419504	-0.23435045831025336
24518	5	5068	137463	733912066.40414178	-0.057993672586122869
24518	6	5041	137431	733741219.07704329	-0.058212962158424197
24518	7	6204	163883	874967890.83978927	0.12305728054508047
24518	8	4771	134218	716587079.64056575	-0.080231005777294695
24518	9	4981	134044	715658097.29946792	-0.081423392826682761
24518	10	4892	133753	714104454.4186666	-0.083417557374796947
24518	11	8502	238054	1270965300.1591086	0.63133624514366105
24518	12	5086	140025	747590530.52996039	-0.040436801203755701
24518	13	4828	134112	716021147.86955214	-0.080957402485542618
24518	14	4881	132351	706619205.90016627	-0.093025181761244635
24518	15	5093	141636	756191625.65357232	-0.029396941798215726
24518	16	5586	142922	763057552.61134088	-0.020584242111359896
24518	17	6602	180465	963498840.15061104	0.23669039579192463
24518	18	5338	144032	768983819.27006793	-0.012977635072160987
24518	19	5228	140822	751845696.77050591	-0.034975120293628148
24518	20	5377	144373	770804411.0994606	-0.01064083056732601
24518	21	4858	128470	685898628.51050901	-0.11962089520190311
24518	22	5795	152852	816073613.80157471	0.047464053293365671
24518	23	5435	148447	792555411.43068039	0.017277473106274366
24518	24	5475	147299	786426263.57102394	0.0094104596999677881
24518	25	5805	148404	792325835.3348918	0.016982802743494396
24518	26	5057	149799	799773711.00058949	0.026542457536001374
24518	27	5450	157605	841449780.85466456	0.080035407579232887
24518	28	5038	137175	732374440.46025574	-0.059967278736834162
24518	29	4882	133068	710447253.82296562	-0.088111724781870238
24518	30	5657	156529	835705039.48097956	0.072661795710603938
24518	31	5006	135524	723559786.17777073	-0.071281250107750771
24518	32	4621	128729	687281424.06421185	-0.11784602022609014
24518	33	5259	147126	785502620.20889807	0.0082249254497142044
24518	34	5184	136944	731141136.31776392	-0.06155027533688362
24518	35	4881	136291	727654783.04916143	-0.066025153171655582
24518	36	5267	144035	768999836.20698333	-0.012957076674757761
24518	37	5152	142233	759378996.09975255	-0.025305820714970895
24518	38	8802	238417	1272903349.5258815	0.63382381122945297
24518	39	7292	180893	965783923.15055251	0.23962339382145337
24518	40	5916	164084	876041025.6131264	0.12443469317109757
24518	41	4858	131284	700922515.33722782	-0.10033711843766369
24518	42	4629	128255	684750748.03156626	-0.12109424701580218
24518	43	4691	125548	670298131.95483279	-0.13964477427265942
24518	44	5143	131777	703554631.97033811	-0.096958688464397924
24518	45	5389	147540	787712957.50323403	0.011061984291361293
24518	46	5040	142382	760174503.96655464	-0.024284753643943224
24518	47	4651	128418	685621001.60397398	-0.11997724075689264
24518	48	4984	138571	739827655.10492516	-0.050400771145192813
24518	49	6050	166562	889271015.50531161	0.14141592942617409
24518	50	6223	156105	833441312.39692533	0.069756208877612691
24518	51	4844	130732	697975398.94477963	-0.10411986355986014
24518	52	5001	130904	698893703.32793379	-0.10294118210874093
24518	53	5614	147518	787595499.96585393	0.010911222710404234
24518	54	6103	154212	823334625.20325828	0.056783860116167872
24518	55	4781	132386	706806070.16418016	-0.092785333791540192
24518	56	4581	125147	668157201.3871305	-0.14239274672555913
24518	57	5588	148533	793014563.62225747	0.017866813831833861
24518	58	4876	129151	689534473.19032252	-0.11495413899136764
24518	59	6327	180350	962884857.56885099	0.23590232389146704
24518	60	5889	162877	869596877.99413216	0.11616336461586063
24518	61	4594	122268	652786280.92724299	-0.16212195543353547
24518	62	5473	153435	819186238.54214942	0.051459235188728636
24518	63	5237	140310	749112139.5369308	-0.038483753450447966
24518	64	5346	144137	769544412.06210959	-0.012258091163047657
24518	65	5239	125237	668637709.49459481	-0.14177599480346204
24518	66	6103	162232	866153236.55730426	0.11174330917416397
24518	67	4821	136655	729598171.39490616	-0.063530734286729063
24518	68	5376	132959	709865305.11503661	-0.088858679887521275
24518	69	5987	169233	903531428.33905935	0.15971975591419252
24518	70	4996	141144	753564847.99943388	-0.032768518972347116
24518	71	4855	131325	701141413.47507274	-0.10005615367315268
24518	72	5507	140947	752513069.14198411	-0.034118520401826502
24518	73	5050	145609	777403389.10863781	-0.0021707708371908607
24518	74	4861	132192	705770308.24364591	-0.094114776823616353
24518	75	5790	147585	787953211.55696619	0.011370360252409784
24518	76	5418	143755	767504922.094872	-0.014875860432393528
24518	77	5179	146325	781226098.05246532	0.0027358333430491655
24518	78	5032	138136	737505199.25218081	-0.05338173876866259
24518	79	5494	163455	872682807.83984768	0.12012428251555152
24518	80	5360	158638	846964946.13256097	0.087114349085081866
24518	81	4890	142901	762945434.0529325	-0.020728150893182584
24518	82	5246	141238	754066712.02278554	-0.032124355853712205
24518	83	5201	143144	764242805.94308627	-0.019062920703520114
24518	84	6739	193670	1034000057.4735757	0.32718160836185417
24518	85	6243	171715	916782774.1471318	0.17672840336580653
24518	86	5348	136679	729726306.89022994	-0.06336626710750326
24518	87	4830	131875	704077851.90957701	-0.096287114149225417
24518	88	5743	176033	939836485.34747744	0.20631879002820419
24518	89	4931	135244	722064872.0656594	-0.073200033865386538
24518	90	5350	148774	794301257.55446756	0.019518338423227588
24518	91	5717	164305	877220939.96589994	0.12594916177980298
24518	92	5187	141723	756656116.82412124	-0.028800748273521637
24518	93	5794	168088	897418297.4163183	0.15187330090528905
24518	94	5081	144414	771023309.23730552	-0.010359865802815005
24518	95	5301	140562	750457562.23783112	-0.036756848068575598
24518	96	4657	126457	675151263.84022284	-0.1334155798594775
24518	97	4796	129370	690703709.58515251	-0.11345337598093108
24518	98	5515	141387	754862219.88958764	-0.031103288782684646
24518	99	5297	143739	767419498.43132269	-0.014985505218544248
24518	100	5061	146146	780270420.81650841	0.0015091822979891312
24518	101	5688	156235	834135379.66326272	0.070647072765086527
24518	102	5277	149780	799672270.40012479	0.026412254352447651
24518	103	5055	134387	717489367.08680439	-0.079072882723578819
24518	104	4963	135190	721776567.20118082	-0.073570085018644815
24518	105	4581	129990	694013876.54768479	-0.1092046405175946
24518	106	5246	151730	810083279.39518583	0.039775212664553861
24518	107	5054	138113	737382402.73582876	-0.053539353148754243
24518	108	6027	159077	849308757.90119267	0.09012272790508935
24518	109	6587	176860	944251820.95717752	0.21198605491236377
24518	110	5149	147075	785230332.28133488	0.0078754326938590413
24518	111	6564	177327	946745124.13702047	0.21518631210813499
24518	112	5671	156063	833217075.28010869	0.069468391313967315
24518	113	4998	134214	716565723.72467852	-0.080258416973832292
