load_seconds	1.563577
fraction	0.01
total_vertices	1791489
sampled_vertices	17915
trial	seed	vertices	edges	triangles	split_subgraph	split_full_degree_on_sampled_edges	triangles_scaled_p^-3	split_subgraph_scaled_p^-3	split_full_degree_scaled_p^-2	seconds
0	20260916	17915	3485	149	2733.0	91140.0	148999999.99999997	2732999999.9999995	911400000.0	1.454703
1	20260917	17915	2641	184	1829.0	76255.0	183999999.99999997	1828999999.9999998	762550000.0	1.491206
2	20260918	17915	2403	153	1401.0	65746.0	152999999.99999997	1400999999.9999998	657460000.0	1.470236
3	20260919	17915	3041	223	2118.0	82526.0	222999999.99999997	2117999999.9999998	825260000.0	1.510321
4	20260920	17915	2767	95	1840.0	81103.0	94999999.99999999	1839999999.9999998	811030000.0	1.479246
5	20260921	17915	2833	160	1886.0	81089.0	159999999.99999997	1885999999.9999998	810890000.0	1.483464
6	20260922	17915	3181	179	1865.0	82099.0	178999999.99999997	1864999999.9999998	820990000.0	1.506898
7	20260923	17915	2659	162	1718.0	71098.0	161999999.99999997	1717999999.9999998	710980000.0	1.466877
8	20260924	17915	2492	116	1467.0	67783.0	115999999.99999999	1466999999.9999998	677830000.0	1.476655
9	20260925	17915	2839	183	2020.0	82094.0	182999999.99999997	2019999999.9999998	820940000.0	1.466305
note	This is an induced subgraph experiment. Scaling by p^-3 is exact in expectation for triangle count under independent vertex sampling, but split_candidates do not have an exact p^-3 scaling law because sampled degrees shrink.
