load_seconds	1.576205
fraction	0.01
total_vertices	1791489
sampled_vertices	17915
trial	seed	vertices	edges	triangles	split_candidates	triangles_scaled_by_p^-3	split_scaled_by_p^-3	seconds
0	20260916	17915	2804	169	2078.0	168999999.99999997	2077999999.9999998	1.027296
1	20260917	17915	2661	138	1795.0	137999999.99999997	1794999999.9999998	0.979285
2	20260918	17915	2623	119	1651.0	118999999.99999999	1650999999.9999998	1.047873
3	20260919	17915	2792	228	2018.0	227999999.99999997	2017999999.9999998	0.980078
4	20260920	17915	3152	198	2556.0	197999999.99999997	2555999999.9999995	0.988401
5	20260921	17915	2807	125	2007.0	124999999.99999999	2006999999.9999998	0.990230
6	20260922	17915	2549	132	1644.0	131999999.99999999	1643999999.9999998	0.985850
7	20260923	17915	3163	111	1941.0	110999999.99999999	1940999999.9999998	0.982557
8	20260924	17915	2991	178	2256.0	177999999.99999997	2255999999.9999995	0.980966
9	20260925	17915	2822	112	2014.0	111999999.99999999	2013999999.9999998	0.981789
note	This is an induced subgraph experiment. Scaling by p^-3 is exact in expectation for triangle count under independent vertex sampling, but split_candidates do not have an exact p^-3 scaling law because sampled degrees shrink.
